Type de critère;Libellé critère;Points
Fond;Présentation du projet (si possible visuellement) et présentation de la problématique;2
Fond;Profondeur d'analyse (càd pas seulement descriptif, mais aussi capacité analytique);2
Fond;Initiatives;2
Fond;Résultats et recul;2
Fond;Références et état de l'art/de l'existant;2
Forme;Respect temps;2
Forme;Prise de parole équilibrée et passage de la parole entre les membres;2
Forme;Clarté;2
Forme;Dynamisme;2
Forme;Originalité et beauté;2
